branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
210,0,8,11,1,ecal,10,13,8.3898,1
211,0,8,12,1,ecal,9,13,8.6938,1
212,0,8,13,1,ecal,8,13,8.7699,1
213,0,8,14,1,ecal,7,13,8.4081,1
214,0,8,15,1,ecal,6,13,8.5039,1
215,0,8,16,1,ecal,6,12,8.7343,1
216,0,8,17,1,ecal,7,12,8.6201,1
217,0,8,18,1,ecal,8,12,8.5312,1
218,0,8,19,1,ecal,9,12,8.475,1
219,0,8,20,1,ecal,10,12,8.6255,1
220,0,8,21,1,ecal,10,11,8.4406,1
221,0,8,22,1,ecal,9,11,9.0341,1
222,0,8,23,1,ecal,8,11,8.4183,1
223,0,8,24,1,ecal,7,11,8.9198,1
224,0,8,25,1,ecal,6,11,8.83,1
225,1,0,1,3,ecal,10,55,8.5324,1
226,1,0,2,3,ecal,9,55,8.6048,1
227,1,0,3,3,ecal,8,55,8.453,1
228,1,0,4,3,ecal,7,55,8.3812,1
229,1,0,5,3,ecal,6,55,8.4496,1
230,1,0,6,3,ecal,6,54,8.6265,1
231,1,0,7,3,ecal,7,54,8.3669,1
232,1,0,8,3,ecal,8,54,8.496,1
233,1,0,9,3,ecal,9,54,8.3021,1
234,1,0,10,3,ecal,10,54,8.5355,1
235,1,0,11,3,ecal,10,53,8.3651,1
236,1,0,12,3,ecal,9,53,8.6039,1
237,1,0,13,3,ecal,8,53,8.442,1
238,1,0,14,3,ecal,7,53,8.3802,1
239,1,0,15,3,ecal,6,53,8.4879,1
240,1,0,16,3,ecal,6,52,8.4234,1
241,1,0,17,3,ecal,7,52,8.5007,1
242,1,0,18,3,ecal,8,52,8.5998,1
243,1,0,19,3,ecal,9,52,8.6669,1
244,1,0,20,3,ecal,10,52,8.4583,1
245,1,0,21,3,ecal,10,51,4.2952,1
246,1,0,22,3,ecal,9,51,8.3653,1
247,1,0,23,3,ecal,8,51,8.4118,1
248,1,0,24,3,ecal,7,51,8.5259,1
249,1,0,25,3,ecal,6,51,8.3655,1
250,1,1,1,3,ecal,1,56,8.529,1
251,1,1,2,3,ecal,2,56,8.3572,1
252,1,1,3,3,ecal,3,56,2.5291,1
253,1,1,4,3,ecal,4,56,8.6833,1
254,1,1,5,3,ecal,5,56,8.3939,1
255,1,1,6,3,ecal,5,57,8.6034,1
256,1,1,7,3,ecal,4,57,8.6251,1
257,1,1,8,3,ecal,3,57,8.4427,1
258,1,1,9,3,ecal,2,57,8.3484,1
259,1,1,10,3,ecal,1,57,8.627,1
260,1,1,11,3,ecal,1,58,8.4061,1
261,1,1,12,3,ecal,2,58,8.4967,1
262,1,1,13,3,ecal,3,58,8.3453,1
263,1,1,14,3,ecal,4,58,8.526,1
264,1,1,15,3,ecal,5,58,8.5035,1
265,1,1,16,3,ecal,5,59,8.417,1
266,1,1,17,3,ecal,4,59,8.536,1
267,1,1,18,3,ecal,3,59,8.4908,1
268,1,1,19,3,ecal,2,59,8.4116,1
269,1,1,20,3,ecal,1,59,8.4906,1
270,1,1,21,3,ecal,1,60,8.5176,1
271,1,1,22,3,ecal,2,60,8.6059,1
272,1,1,23,3,ecal,3,60,8.5098,1
273,1,1,24,3,ecal,4,60,8.5536,1
274,1,1,25,3,ecal,5,60,8.5113,1
275,1,2,1,2,ecal,10,30,8.3856,1
276,1,2,2,2,ecal,9,30,8.4983,1
277,1,2,3,2,ecal,8,30,8.3147,1
278,1,2,4,2,ecal,7,30,8.3137,1
279,1,2,5,2,ecal,6,30,8.3058,1
280,1,2,6,2,ecal,6,29,8.299,1
281,1,2,7,2,ecal,7,29,8.3061,1
282,1,2,8,2,ecal,8,29,8.4715,1
283,1,2,9,2,ecal,9,29,8.3518,1
284,1,2,10,2,ecal,10,29,8.393,1
285,1,2,11,2,ecal,10,28,8.5682,1
286,1,2,12,2,ecal,9,28,8.4244,1
287,1,2,13,2,ecal,8,28,8.3062,1
288,1,2,14,2,ecal,7,28,8.4246,1
289,1,2,15,2,ecal,6,28,8.3212,1
290,1,2,16,2,ecal,6,27,8.3975,1
291,1,2,17,2,ecal,7,27,8.5032,1
292,1,2,18,2,ecal,8,27,8.4521,1
293,1,2,19,2,ecal,9,27,8.3851,1
294,1,2,20,2,ecal,10,27,8.5239,1
295,1,2,21,2,ecal,10,26,8.5506,1
296,1,2,22,2,ecal,9,26,8.398,1
297,1,2,23,2,ecal,8,26,8.3242,1
298,1,2,24,2,ecal,7,26,8.4379,1
299,1,2,25,2,ecal,6,26,8.4104,1
300,1,3,1,3,ecal,5,50,8.4155,1
301,1,3,2,3,ecal,4,50,8.4664,1
302,1,3,3,3,ecal,3,50,8.4223,1
303,1,3,4,3,ecal,2,50,8.4211,1
304,1,3,5,3,ecal,1,50,8.6395,1
